year,Quito,Cuenca,Guayaquil,Machala,Santo Domingo
1990,1438096,369891,1641273,179745,199446
1991,1476816,375746,1680793,183650,206918
1992,1516717,381719,1721594,187669,214689
1993,1557865,387812,1763709,191812,222781
1994,1600289,394024,1807207,196086,231223
1995,1644037,400363,1852142,200489,240027
1996,1689171,406830,1898575,205039,249212
1997,1735709,413442,1946570,209729,258774
1998,1783723,420177,1996200,214569,268760
1999,1833273,427049,2047530,219569,279170
2000,1884392,434072,2100644,224734,290041
2001,1937151,441230,2155622,230067,301395
2002,1974852,449537,2184790,258227,309062
2003,2013628,458046,2214543,261974,316954
2004,2053534,466795,2244881,265697,325087
2005,2094614,475769,2275840,240899,333458
2006,2136936,484986,2307440,243775,342094
2007,2180537,494459,2339698,246720,350986
2008,2225486,504207,2372603,249741,360167
2009,2271834,514235,2406222,252843,369621
2010,2319671,524563,2440553,256022,379378
2011,2365973,535624,2471180,259620,387229
2012,2412427,546864,2501423,263161,395133
2013,2458900,558127,2531223,266638,403063
2014,2505344,569416,2560505,270047,411009
2015,2551721,580706,2589229,273390,418957
2016,2597989,591996,2617349,276669,426910
2017,2644145,603269,2644891,279887,434849
2018,2690150,614539,2671801,283037,442788
2019,2735987,625775,2698077,286120,450694
2020,2781641,636996,2723665,289141,458580
